Temp,Sat_press,Spec_vol_Sat_liquid,Internal_energy_Sat_liquid,Internal_energy_Evap,Internal_energy_Sat_vapour,Enthalpy_Sat_liquid,Enthalpy_Evap,Enthalpy_Sat_vapour,Entropy_Sat_liquid,Entropy_Evap,Entropy_Sat_vapour 
91.76,75,0.001037,384.36,2111.8,2496.1,384.44,2278,2662.4,1.2132,6.2426,7.4558
99.61,100,0.001043,417.4,2088.2,2505.6,417.51,2257.5,2675,1.3028,6.0562,7.3589
99.97,101.325,0.001043,418.95,2087,2506,419.06,2256.5,2675.6,1.3069,6.0476,7.3545
105.97,125,0.001048,444.23,2068.8,2513,444.36,2240.6,2684.9,1.3741,5.91,7.2841
111.35,150,0.001053,466.97,2052.3,2519.2,467.13,2226,2693.1,1.4337,5.7894,7.2231
116.04,175,0.001057,486.82,2037.7,2524.5,487.01,2213.1,2700.2,1.485,5.6865,7.1716
120.21,200,0.001061,504.5,2024.6,2529.1,504.71,2201.6,2706.3,1.5302,5.5968,7.127
123.97,225,0.001064,520.47,2012.7,2533.2,520.71,2191,2711.7,1.5706,5.5171,7.0877
127.41,250,0.001067,535.08,2001.8,2536.8,535.35,2181.2,2716.5,1.6072,5.4453,7.0525
130.58,275,0.00107,548.57,1991.6,2540.1,548.86,2172,2720.9,1.6408,5.38,7.0207
133.52,300,0.001073,561.11,1982.1,2543.2,561.43,2163.5,2724.9,1.6717,5.32,6.9917
136.27,325,0.001076,572.84,1973.1,2545.9,573.19,2155.4,2728.6,1.7005,5.2645,6.965
138.86,350,0.001079,583.89,1964.6,2548.5,584.26,2147.7,2732,1.7274,5.2128,6.9402
141.3,375,0.001081,594.32,1956.6,2550.9,594.73,2140.4,2735.1,1.7526,5.1645,6.9171
143.61,400,0.001084,604.22,1948.9,2553.1,604.66,2133.4,2738.1,1.7765,5.1191,6.8955
147.9,450,0.001088,622.65,1934.5,2557.1,623.14,2120.3,2743.4,1.8205,5.0356,6.8561
151.83,500,0.001093,639.54,1921.2,2560.7,640.09,2108,2748.1,1.8604,4.9603,6.8207
155.46,550,0.001097,655.16,1908.8,2563.9,655.77,2096.6,2752.4,1.897,4.8916,6.7886
158.83,600,0.001101,669.72,1897.1,2566.8,670.38,2085.8,2756.2,1.9308,4.8285,6.7593
161.98,650,0.001104,683.37,1886.1,2569.4,684.08,2075.5,2759.6,1.9623,4.7699,6.7322
164.95,700,0.001108,696.23,1875.6,2571.8,697,2065.8,2762.8,1.9918,4.7153,6.7071
167.75,750,0.001111,708.4,1865.6,2574,709.24,2056.4,2765.7,2.0195,4.6642,6.6837
170.41,800,0.001115,719.97,1856.1,2576,720.87,2047.5,2768.3,2.0457,4.616,6.6616
